countryname,slug,canonicalNames,population,flightPrice,timeDifference,CurrencyRate,developmentStatus,visaType
Saudi Arabia,saudi-arabia,"['Riyadh', 'Makkah', 'Madinah', 'Jeddah', 'Haj', 'Middle East']",32M people,"₹14,308.00",2 hrs 30 min behind,"Saudi Riyal,100 INR = 4.53 SAR",Developing,Visa Required
Taiwan,taiwan,"['Republic of China', 'Taipei', 'Taichung', 'Tainan']",24M people,"₹13,050.00",2 hrs 30 min ahead,"New Taiwan dollar,100 INR = 37.97 TWD",Developed,Visa Required
Uzbekistan,uzbekistan,['Tashkent'],32M people,"₹15,422.00",30 min behind,"Uzbekistan Sum,100 INR = 15094.41 UZS",Developing,E-visa
Argentina,argentina,"['South America', 'Buenos Aires']",44M people,"₹60,658.00",8 hrs 30 min behind,"Argentine Peso,100 INR = 1021.60 ARS",Developing,Visa Required
Austria,austria,"['Vienna', 'EU', 'Europe', 'Schengen']",9M people,"₹27,503.00",4 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Bangladesh,bangladesh,['Dhaka'],161M people,"₹7,363.00",30 min ahead,"Taka,100 INR = 132.50 BDT",Least Developed,Visa Required
Belgium,belgium,"['Brussels', 'Antwerp', 'EU', 'Europe', 'Schengen']",11M people,"₹24,820.00",4 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Brazil,brazil,"['South America', 'Rio De Janerio', 'Sao Paulo']",206M people,"₹80,326.00",7 hrs 30 min to 10 hrs 30 min behind,"Brazilian Real,100 INR = 5.96 BRL",Developing,Visa Required
Canada,canada,"['Vancouver', 'Toronto', 'Montreal', 'Ottawa', 'Calgary', 'Quebec']",36M people,"₹85,780.00",8 hrs 30 min to 12 hrs 30 min behind,"Canadian Dollar,100 INR = 1.63 CAD",Developed,Visa Required
Switzerland,switzerland,"['Swiss', 'Zurich', 'Geneva', 'Schengen', 'Europe']",8M people,"₹41,683.00",4 hrs 30 min behind,"Swiss Franc,100 INR = 1.06 CHF",Developed,Visa Required
Chile,chile,"['Santiago', 'South America']",18M people,"₹113,614.00",9 hrs 30 min to 11 hrs 30 min behind,"Chilean Peso,100 INR = 1167.83 CLP",Developing,Visa Required
Colombia,colombia,"['Bogota', 'Mendellin', 'Cartagena', 'Cali', 'South America']",49M people,"₹60,528.00",10 hrs 30 min behind,"Colombian Peso,100 INR = 4726.83 COP",Developing,Visa Required
Costa Rica,costa-rica,['Caribbean'],5M people,"₹59,661.00",11 hrs 30 min behind,"Costa Rican Colon,100 INR = 617.05 CRC",Developing,Visa Required
Cuba,cuba,"['Havana', 'Trinidad', 'Caribbean']",11M people,"₹111,600.00",10 hrs 30 min behind,"Cuban Peso,100 INR = 28.97 CUP",Developing,Visa Required
Czechia,czech-republic,"['Czech Republic', 'Prague', 'EU', 'Europe', 'Schengen']",11M people,"₹21,116.00",4 hrs 30 min behind,"Czech Koruna,100 INR = 27.99 CZK",Developed,Visa Required
Germany,germany,"['Berlin', 'Munich', 'Cologne', 'Frankfurt', 'EU', 'Europe', 'Schengen']",82M people,"₹51,118.00",4 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Estonia,estonia,"['EU', 'Europe', 'Schengen']",1M people,"₹58,272.00",3 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Spain,spain,"['Barcelona', 'Madrid', 'Seville', 'EU', 'Europe', 'Schengen']",46M people,"₹26,378.00",4 hrs 30 min to 5 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Finland,finland,"['Helsinki', 'EU', 'Europe', 'Schengen']",5M people,"₹34,654.00",3 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
France,france,"['French', 'Paris', 'EU', 'Europe', 'Schengen']",67M people,"₹20,316.00",4 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
UK,united-kingdom,"['United Kingdom', 'Great Britain', 'London']",65M people,"₹35,048.00",5 hrs 30 min behind,"Pound Sterling,100 INR = 0.94 GBP",Developed,Visa Required
Georgia,georgia,[''],4M people,"₹18,193.00",10 hrs 30 min behind,"Lari,100 INR = 3.21 GEL",Developing,Visa Required
Ghana,ghana,['Africa'],28M people,"₹29,053.00",5 hrs 30 min behind,"Ghana Cedi,100 INR = 15.45 GHS",Developing,Visa Required
Greece,greece,"['Athens', 'Santorini', 'Mykonos', 'EU', 'Europe', 'Schengen']",11M people,"₹51,741.00",3 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Guyana,guyana,"['Guiana', 'South America', 'Caribbean']",747K people,"₹55,805.00",9 hrs 30 min behind,"Guyana Dollar,100 INR = 252.57 GYD",Developing,Visa Required
Hungary,hungary,"['Budapest', 'EU', 'Europe', 'Schengen']",10M people,"₹33,716.00",4 hrs 30 min behind,"Forint,100 INR = 435.79 HUF",Developed,Visa Required
Israel,israel,"['Palestine', 'Jerusalem', 'Tel Aviv', 'Middle East']",9M people,"₹39,476.00",3 hrs 30 min behind,"New Israeli Sheqel,100 INR = 4.32 ILS",Developed,Visa Required
Italy,italy,"['Rome', 'Florence', 'Venice', 'Milan', 'Amalfi', 'Como', 'EU', 'Europe', 'Schengen']",61M people,"₹39,193.00",4 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Kyrgyzstan,kyrgyzstan,['Bishkek'],6M people,"₹14,579.00",30 min ahead,"Som,100 INR = 108.07 KGS",Developing,E-visa
South Korea,south-korea,['Seoul'],51M people,"₹21,681.00",3 hrs 30 min ahead,"Won,100 INR = 1591.77 KRW",Developed,Visa Required
Lebanon,lebanon,"['Beirut', 'Middle East']",6M people,"₹21,077.00",3 hrs 30 min behind,"Lebanese Pound,100 INR = 108105.65 LBP",Developing,Visa Required
Liechtenstein,liechtenstein,"['FL', 'Europe', 'Schengen']",38K people,₹0.00,4 hrs 30 min behind,"Swiss Franc,100 INR = 1.06 CHF",Developed,Visa Required
Malta,malta,[''],425K people,"₹19,419.00",4 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Netherlands,netherlands,"['Holland', 'Amsterdam', 'Dutch', 'EU', 'Europe', 'Schengen']",17M people,"₹26,781.00",4 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
